dataset,n_novel,n_combos,Feyn_snp,Feyn_combo,Lasso_snp,Lasso_combo,Ridge_snp,Ridge_combo,MLP_snp,MLP_combo
SCA17 baseline,29,29,0.9333333333333333,0.9655172413793104,0.07407407407407407,0.13793103448275862,0.9333333333333333,0.9655172413793104,0.2608695652173913,0.41379310344827586
SCA17 fp001,29,29,0.7575757575757576,0.8620689655172413,0.07407407407407407,0.13793103448275862,0.9333333333333333,0.9655172413793104,0.07407407407407407,0.13793103448275862
SCA17 fp005,29,29,0.45,0.6206896551724138,0.07407407407407407,0.13793103448275862,0.5675675675675675,0.7241379310344828,0.8709677419354839,0.9310344827586207
SCA17 fpbal,29,29,0.9333333333333333,0.9655172413793104,0.1836734693877551,0.3103448275862069,1.0,1.0,0.11538461538461539,0.20689655172413793
FHL baseline,6,6,0.2,0.3333333333333333,0.09090909090909091,0.16666666666666666,0.3333333333333333,0.5,0.0,0.0
FHL fp001,6,6,0.09090909090909091,0.16666666666666666,0.09090909090909091,0.16666666666666666,0.2,0.3333333333333333,0.0,0.0
FHL fp005,6,6,0.09090909090909091,0.16666666666666666,0.09090909090909091,0.16666666666666666,0.09090909090909091,0.16666666666666666,0.0,0.0
FHL fpbal,6,6,0.5,0.5,0.7142857142857143,0.6666666666666666,0.5,0.6666666666666666,0.0,0.0
Alport baseline,37,23,0.6818181818181818,0.782608695652174,0.0136986301369863,0.043478260869565216,0.7209302325581395,0.8260869565217391,0.5416666666666666,0.6521739130434783
Alport fp001,37,23,0.6444444444444445,0.6521739130434783,0.0136986301369863,0.043478260869565216,0.6818181818181818,0.7391304347826086,0.34545454545454546,0.391304347826087
Alport fp005,37,23,0.027777777777777776,0.043478260869565216,0.0,0.0,0.13846153846153847,0.21739130434782608,0.0136986301369863,0.0
Alport fpbal,37,23,0.8974358974358975,0.9130434782608695,0.5416666666666666,0.5217391304347826,0.8974358974358975,0.9130434782608695,0.37037037037037035,0.391304347826087
