K,n_per_pair,n_pos,n_total,feyn_J_strict,feyn_J_hess,feyn_J_combo,feyn_J_loose,plink_J,feyn_n_pairs,feyn_n_hess,feyn_n_combo,feyn_n_feats,plink_n,feyn_s,plink_s,elapsed_s
2,5,10,30,0.0,0.0,0.0,0.5,0.0,0,0,0,2,0,22.3,0.5,23.0
2,10,20,60,0.0,0.0,0.0,1.0,0.0,0,0,0,3,0,27.1,1.0,28.2
2,15,30,90,0.0,0.0,0.0,1.0,0.0,0,0,0,3,0,30.3,1.6,32.1
2,20,40,120,0.0,0.0,0.0,1.0,0.0,0,0,0,3,0,34.2,2.4,36.8
2,25,50,150,0.0,0.0,0.0,1.0,1.0,0,0,0,3,2,35.8,2.8,38.8
2,30,60,180,0.0,0.0,0.0,1.0,1.0,0,0,0,3,2,36.6,3.2,40.0
3,5,15,45,0.0,0.0,0.0,0.0,0.0,0,0,0,3,0,26.4,0.7,27.3
3,10,30,90,0.0,0.0,0.0,0.3333333333333333,0.0,0,0,0,3,0,29.7,1.5,31.4
3,15,45,135,0.0,0.0,0.0,0.6666666666666666,0.3333333333333333,0,0,0,4,1,32.8,2.7,35.8
3,20,60,180,0.0,0.0,0.0,0.3333333333333333,0.05555555555555555,0,0,0,4,54,32.3,3.0,35.5
3,25,75,225,0.0,0.0,0.0,1.0,1.0,1,1,1,5,3,36.4,3.7,40.3
3,30,90,270,0.0,0.0,0.0,0.6666666666666666,1.0,0,0,0,4,3,35.0,4.3,39.6
4,5,20,60,0.0,0.0,0.0,0.0,0.0,0,0,0,4,0,26.7,1.0,27.8
4,10,40,120,0.0,0.0,0.0,0.0,0.0,0,0,0,4,0,32.5,2.2,34.9
4,15,60,180,0.0,0.0,0.0,0.25,0.5,0,0,0,4,2,33.8,3.2,37.1
4,20,80,240,0.0,0.0,0.0,0.25,1.0,0,0,0,4,4,33.8,3.8,37.8
4,25,100,300,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5,0.12903225806451613,4,4,4,5,31,35.4,4.4,40.1
4,30,120,360,0.5,0.5,0.5,0.5,0.0851063829787234,2,2,2,3,47,34.6,5.1,39.9
5,5,25,75,0.0,0.0,0.0,0.0,0.0,0,0,0,2,0,25.5,1.3,27.0
5,10,50,150,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.2,0.0,2,2,2,3,28,30.3,2.6,33.1
5,15,75,225,0.1,0.1,0.1,0.2,0.2,6,6,6,5,7,33.4,3.6,37.2
5,20,100,300,0.0,0.0,0.0,0.2,0.8,0,0,0,5,4,34.7,4.6,39.6
5,25,125,375,0.0,0.0,0.0,0.4,0.07142857142857142,1,1,1,6,55,34.7,5.3,40.3
5,30,150,450,0.375,0.375,0.375,0.6,0.8333333333333334,6,6,6,5,6,36.2,6.1,42.5
6,5,30,90,0.0,0.0,0.0,0.0,0.0,0,0,0,6,0,30.0,1.9,32.0
6,10,60,180,0.375,0.375,0.375,0.5,0.0,5,5,5,5,0,30.0,2.9,33.1
6,15,90,270,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5,0.3333333333333333,6,6,6,5,2,34.8,4.2,39.3
6,20,120,360,0.3,0.3,0.3,0.5,0.0017873100983020554,7,7,7,5,1115,36.3,5.2,41.6
6,25,150,450,0.0,0.0,0.0,0.5,0.02459016393442623,4,4,4,6,119,35.8,6.0,42.0
6,30,180,540,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5,0.005442176870748299,2,2,2,4,733,37.2,6.9,44.3
7,5,35,105,0.0,0.0,0.0,0.0,0.0,0,0,0,4,0,28.9,1.9,30.9
7,10,70,210,0.0,0.0,0.0,0.14285714285714285,0.0,0,0,0,6,43,33.2,3.6,37.0
7,15,105,315,0.625,0.625,0.625,0.7142857142857143,0.2857142857142857,6,6,6,4,2,33.0,4.6,37.8
7,20,140,420,0.625,0.625,0.625,0.7142857142857143,0.2857142857142857,6,6,6,5,2,33.9,5.9,40.1
7,25,175,525,0.25,0.25,0.25,0.42857142857142855,0.2,8,8,8,5,5,35.2,6.9,42.3
7,30,210,630,0.0,0.0,0.0,0.7142857142857143,0.75,0,0,0,6,7,34.5,7.8,42.5
8,5,40,120,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.375,0.0,6,6,6,5,0,28.9,2.0,31.2
8,10,80,240,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.375,0.0,4,4,4,4,0,32.9,3.6,36.7
8,15,120,360,0.75,0.75,0.75,0.75,0.2222222222222222,6,6,6,4,3,34.4,5.1,39.8
8,20,160,480,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.75,0.2222222222222222,7,7,7,5,3,36.5,6.3,43.0
8,25,200,600,0.75,0.75,0.75,0.75,0.03333333333333333,6,6,6,4,54,38.1,7.5,45.9
8,30,240,720,0.0,0.0,0.0,0.375,0.0125,0,0,0,6,154,38.7,8.1,47.1
9,5,45,135,0.0,0.0,0.0,0.0,0.0,0,0,0,3,0,30.8,2.6,33.6
9,10,90,270,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0,6,6,6,4,0,32.4,4.2,36.8
9,15,135,405,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,3,3,3,5,3,34.1,5.7,40.0
9,20,180,540,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.21428571428571427,3,3,3,4,8,35.3,6.9,42.4
9,25,225,675,0.2727272727272727,0.2727272727272727,0.2727272727272727,0.3333333333333333,0.23076923076923078,5,5,5,6,7,35.3,8.2,43.8
9,30,270,810,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.06382978723404255,6,6,6,4,41,36.1,9.0,45.5
