K,n_per_pair,n_pos,n_total,feyn_J_strict,feyn_J_loose,plink_J,feyn_n_pairs,feyn_n_feats,plink_n,feyn_s,plink_s,elapsed_s
2,5,10,30,0.0,0.5,0.0,0,2,0,17.2,0.4,17.7
2,10,20,60,0.0,1.0,0.0,0,3,0,20.8,0.9,21.9
2,15,30,90,0.0,1.0,0.0,0,3,0,22.4,1.4,24.0
2,20,40,120,0.0,1.0,0.0,0,3,0,24.1,1.9,26.2
2,25,50,150,0.0,1.0,1.0,0,3,2,25.0,2.4,27.5
2,30,60,180,0.0,1.0,1.0,0,3,2,25.1,2.7,28.0
3,5,15,45,0.0,0.0,0.0,0,3,0,17.4,0.7,18.2
3,10,30,90,0.0,0.3333333333333333,0.0,0,3,0,22.0,1.3,23.5
3,15,45,135,0.0,0.3333333333333333,0.3333333333333333,0,3,1,24.6,2.2,27.0
3,20,60,180,0.0,0.6666666666666666,0.05555555555555555,0,5,54,24.2,2.5,26.9
3,25,75,225,0.0,0.6666666666666666,1.0,0,4,3,25.0,3.2,28.4
3,30,90,270,0.0,0.6666666666666666,1.0,3,4,3,25.7,3.6,29.4
4,5,20,60,0.0,0.0,0.0,0,4,0,19.6,0.8,20.6
4,10,40,120,0.0,0.0,0.0,0,4,0,23.3,1.9,25.4
4,15,60,180,0.0,0.0,0.5,0,4,2,24.7,2.7,27.5
4,20,80,240,0.25,0.5,1.0,6,5,4,25.3,3.3,28.8
4,25,100,300,0.2222222222222222,0.5,0.12903225806451613,7,5,31,26.4,3.8,30.4
4,30,120,360,0.3333333333333333,0.5,0.0851063829787234,4,5,47,27.0,4.4,31.6
5,5,25,75,0.0,0.0,0.0,0,2,0,19.5,1.1,20.8
5,10,50,150,0.14285714285714285,0.2,0.0,3,4,28,24.0,2.1,26.3
5,15,75,225,0.2,0.2,0.2,1,4,7,25.5,3.2,28.9
5,20,100,300,0.0,0.4,0.8,0,5,4,25.6,4.0,29.7
5,25,125,375,0.0,0.4,0.07142857142857142,4,5,55,26.7,4.6,31.4
5,30,150,450,0.16666666666666666,0.4,0.8333333333333334,2,5,6,26.8,5.2,32.2
6,5,30,90,0.0,0.0,0.0,0,5,0,23.5,1.6,25.2
6,10,60,180,0.5,0.5,0.0,3,3,0,24.0,2.5,26.6
6,15,90,270,0.125,0.16666666666666666,0.3333333333333333,3,4,2,26.6,3.7,30.5
6,20,120,360,0.42857142857142855,0.5,0.0017873100983020554,4,5,1115,26.9,4.5,31.5
6,25,150,450,0.375,0.5,0.02459016393442623,5,4,119,27.0,5.4,32.6
6,30,180,540,0.0,0.5,0.005442176870748299,0,5,733,27.4,5.9,33.5
7,5,35,105,0.0,0.0,0.0,0,4,0,22.4,1.6,24.1
7,10,70,210,0.0,0.14285714285714285,0.0,0,4,43,26.3,3.0,29.6
7,15,105,315,0.42857142857142855,0.42857142857142855,0.2857142857142857,3,3,2,25.4,4.0,29.6
7,20,140,420,0.2727272727272727,0.42857142857142855,0.2857142857142857,7,5,2,26.4,5.0,31.6
7,25,175,525,0.375,0.42857142857142855,0.2,4,5,5,26.4,5.8,32.4
7,30,210,630,0.7142857142857143,0.7142857142857143,0.75,5,4,7,26.8,6.7,33.8
8,5,40,120,0.0,0.125,0.0,0,5,0,21.6,1.7,23.5
8,10,80,240,0.75,0.75,0.0,6,4,0,25.1,3.2,28.5
8,15,120,360,0.375,0.375,0.2222222222222222,3,4,3,27.0,4.4,31.6
8,20,160,480,0.75,0.75,0.2222222222222222,6,4,3,26.6,5.5,32.2
8,25,200,600,0.3,0.375,0.03333333333333333,5,5,54,26.5,6.4,33.2
8,30,240,720,0.5454545454545454,0.75,0.0125,9,5,154,27.8,7.5,35.6
9,5,45,135,0.0,0.1111111111111111,0.0,0,3,0,22.4,2.2,24.8
9,10,90,270,0.5,0.6666666666666666,0.0,9,5,0,25.0,3.6,28.7
9,15,135,405,0.3333333333333333,0.3333333333333333,0.3333333333333333,3,4,3,26.5,4.9,31.6
9,20,180,540,0.5454545454545454,0.6666666666666666,0.21428571428571427,8,5,8,26.2,6.0,32.4
9,25,225,675,0.3333333333333333,0.3333333333333333,0.23076923076923078,3,4,7,26.9,7.1,34.2
9,30,270,810,0.2727272727272727,0.3333333333333333,0.06382978723404255,5,5,41,27.0,8.3,35.5
